Timestamp,,"1. Satisfaction: What is your feeling with respect to your overall experience with CNCF, where 5 is completely met expectations and 1 is did not meet expectations? *",2. Collaboration: Do you feel that CNCF reached out to collaborate and gather info about your project’s needs?,3. Were there explicit requests that you made of CNCF staff that you felt were ignored?,4. Efficiency: Did you feel that the CNCF team responded quickly to your requests? Where 5 is work was completed on time or ahead of schedule and 1 is delayed? ,5. Were you happy with KubeCon + CloudNativeCon in Austin in Dec 2017?,6. How can CNCF help you and/or your project in the next 6 months?,"7. Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
2/21/2018 0:07:23,,4,Yes,No,4,Didn’t attend but heard it wasn’t good overall,"Continuous Integration, Marketing (blog), websites",I think the CNCF should help more with project websites so that they have a consistent look.  The projects can help with content. There are no standard templates that can be used that look good for modern infrastructure projects. 
2/21/2018 0:55:16,,5,Yes,No,4,Attended and Yes,"Marketing (blog), Social (Twitter)","Sell more T-shirts / sweatshirts with our project logo.  Each one we see gives us all a morale boost!

More discussions about how to boost via marketing would also help.  We'd be happy to work more closely with the CNCF on this."
2/21/2018 10:31:31,,4,Yes,No,5,Didn’t attend but heard it was good overall,"Continuous Integration, Governance","containerd and Notary are considered to be under the Moby Project umbrella (which is out of CNCF) but this relation ship does not seem documented in CNCF documents.
I'd expect CNCF to help clarifying this."
2/21/2018 18:01:32,,4,Yes,No,5,Didn’t attend but heard it was good overall,Training Materials,-
2/21/2018 23:06:59,,5,Yes,No,5,Attended and Yes,"Documentation, Training Materials",Help to create training/docs.
2/22/2018 2:05:26,,4,Yes,No,3,Attended and Yes,"Documentation, Events (meetups or conferences)",.
2/27/2018 2:56:03,,2,No,Yes,3,Attended and No,"Continuous Integration, Documentation, Marketing (blog), Events (meetups or conferences)","The containerd project keeps getting snubbed for talks in CNCF conferences. Every single conference, we have to ask for what is simply given to other projects."
2/27/2018 15:33:08,,5,Yes,No,5,Attended and Yes,"Documentation, Governance, Marketing (blog), Social (Twitter)",none
3/1/2018 3:23:29,,3,Yes,No,3,Attended and Yes,"Documentation, Training Materials, Marketing (blog), Social (Twitter), Events (meetups or conferences)","More marketing help to combat companies that have full time PR, marketing, etc. who post BS articles in New Stack, etc."
3/6/2018 20:19:23,,4,No,No,3,Didn’t attend but heard it was good overall,Continuous Integration,I haven't had much interaction with the CNCF.
3/6/2018 21:42:56,,4,Yes,No,3,Attended and Yes,Documentation,"A few work streams have been moving very slowly, 4+ months each."
3/8/2018 19:14:15,,4,Yes,No,3,Didn’t attend but heard it was good overall,"Continuous Integration, Documentation, Governance, Security",None
,,,,,,,,
,,,,,,,,
,,4,,,,,,
