Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What job title that best fits your role?,,For how many years have you worked in the cloud native domain(s)?,Which end user category would you identify yourself as?,,What is the topmost cloud native security concern for you right now? (Select all that apply),,,,,"What kind of cloud native security related incident, if any, has your organization experienced in the last 24 months? (Select all that apply)",,,,,What are the most important cloud native security skills required in your organization? (Select all that apply),,,,,What types of tools are you currently using to protect your cloud native applications? (Select all that apply),,,,,How much of the cloud native security whitepaper have you read?,How did you find out about the whitepaper?,,,,,What would you like the cloud native security community to focus on ? (Select all that apply),,,,
,,,,,,,,,Response,Other (please specify),Response,Response,Other (please specify),Supply chain security,Vulnerability mangement,Secrets Management,Workload isolation,Other (please specify),Ransomware,Cryptocurrency Miners,Vulnerability Exploited,Prefer not to disclose,Other (please specify),Cloud Security (Public and Private),Application Security,Container Security,Infrastructure Security,Other (please specify),Image Scanning,Policy as a code,Runtime Protection,IaC scanning,Other (please specify),Response,CNCF / Kubernetes blog post,Social Media,CNCF / Kubernetes Slack,I found out about it through this survey,Other (please specify),Automated tooling,Secure defaults,Reference guides,Case studies,Other (please specify)
12687305205,402588383,05/24/2021 12:05:53 PM,05/25/2021 10:40:44 AM,71.204.154.27,,,,,Security Architect/ Engineer,,5+ years,Other (please specify),Media,Supply chain security,Vulnerability mangement,Secrets Management,Workload isolation,,,,,Prefer not to disclose,,Cloud Security (Public and Private),Application Security,Container Security,Infrastructure Security,,Image Scanning,Policy as a code,Runtime Protection,IaC scanning,,0-24%,CNCF / Kubernetes blog post,Social Media,CNCF / Kubernetes Slack,,,,,Reference guides,Case studies,
12662870906,402588383,05/17/2021 02:55:32 AM,05/17/2021 03:04:25 AM,217.74.210.226,,,,,C-suite/ Engineering manager,,3-5 years,FinTech,,,,Secrets Management,Workload isolation,,,,,Prefer not to disclose,,Cloud Security (Public and Private),Application Security,Container Security,Infrastructure Security,,Image Scanning,Policy as a code,,IaC scanning,,0-24%,,,,I found out about it through this survey,,Automated tooling,,Reference guides,,
12642257804,402588383,05/09/2021 07:19:36 AM,05/09/2021 07:22:13 AM,37.223.131.219,,,,,Developer / Systems Architect,,3-5 years,FinTech,,,,Secrets Management,Workload isolation,,,,,,API injection,,Application Security,Container Security,Infrastructure Security,,Image Scanning,,,IaC scanning,,25-49%,CNCF / Kubernetes blog post,Social Media,,,,Automated tooling,,Reference guides,Case studies,
12627755318,402588383,05/04/2021 01:51:10 AM,05/04/2021 01:54:15 AM,87.190.26.178,,,,,DevOps / Cloud Engineer,,3-5 years,FinTech,,Supply chain security,Vulnerability mangement,Secrets Management,Workload isolation,,,,,,,Cloud Security (Public and Private),Application Security,Container Security,,,Image Scanning,,Runtime Protection,,,0-24%,,,,I found out about it through this survey,,Automated tooling,Secure defaults,,,
12614852619,402588383,04/29/2021 02:15:08 AM,04/29/2021 02:16:52 AM,165.225.76.116,,,,,Security Architect/ Engineer,,1-2 years,Other (please specify),tech,,,Secrets Management,,,,Cryptocurrency Miners,,,,Cloud Security (Public and Private),Application Security,,,,Image Scanning,,,,,0-24%,,,,I found out about it through this survey,,,Secure defaults,,,
12612081023,402588383,04/28/2021 06:44:11 AM,04/28/2021 06:45:21 AM,188.154.41.144,,,,,DevOps / Cloud Engineer,,3-5 years,Government agencies,,,,Secrets Management,Workload isolation,,,,,Prefer not to disclose,,,,,,,Image Scanning,,Runtime Protection,,,0-24%,,,,I found out about it through this survey,,,Secure defaults,Reference guides,Case studies,
12609827156,402588383,04/27/2021 12:44:27 PM,04/27/2021 12:46:09 PM,74.33.87.146,,,,,Developer / Systems Architect,,5+ years,Other (please specify),Security Solutions,,,,,Actual Run-Time,,,,,,Cloud Security (Public and Private),,Container Security,Infrastructure Security,,,Policy as a code,Runtime Protection,,,25-49%,,Social Media,CNCF / Kubernetes Slack,,,,,,Case studies,
12607401318,402588383,04/26/2021 06:34:51 PM,04/26/2021 06:36:48 PM,173.38.117.68,,,,,DevOps / Cloud Engineer,,1-2 years,Other (please specify),Network infrastructure,Supply chain security,,,,Privileged access management,,,,,,,,,Infrastructure Security,,Image Scanning,Policy as a code,,,,0-24%,,,,I found out about it through this survey,,,Secure defaults,,,
12595299119,402588383,04/21/2021 05:51:11 PM,04/21/2021 07:15:45 PM,79.97.220.143,,,,,DevOps / Cloud Engineer,,5+ years,,,,Vulnerability mangement,Secrets Management,Workload isolation,,,,,,,Cloud Security (Public and Private),Application Security,Container Security,Infrastructure Security,,Image Scanning,,Runtime Protection,,,25-49%,,,,I found out about it through this survey,,Automated tooling,Secure defaults,,,
